Timestamp,Department:,Authorized Use: Select All that Apply,Summary Description of Flight,Drone Make & Model:,FAA Provided Drone Registration Number:,Street Address (Area Surveyed):,FAA provided commercial pilot certificate number:,Location (Area Surveyed):,Start Date:,Start Time:,End Date:,End Time:,Type of Data Collected:,Privacy Risks -- Summary of privacy risks associated with this flight:,Privacy Risk Mitigation -- Action taken to mitigate privacy risks:
2020/03/04 3:18:40 PM AST,ITS Information & Technology Services,"Training: Preplanning, assessment and evaluation of emergency response operations.",,DJI Spark,FA3EE79T9M,1001 S Henderson St (Bryan Park),2371017,Bryan Park,03/04/2020 12:00:00 AM,15:00,03/04/2020 12:00:00 AM,17:00,Images;Video,None,N/A
2020/03/04 3:44:53 PM AST,ITS Information & Technology Services,Inspections: Surveys and assessments of properties and assets.,,DJI Spark,FA3EE79T9M,N Dunn Street (Griffy Water Treatment Plant),2371017,Griffy Water Treatment Plant,03/05/2020 12:00:00 AM,13:30,03/05/2020 12:00:00 AM,17:00,Images;Video,None,N/A
2020/05/07 12:24:34 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Promotional video footage of Lower Cascades Park,DJI Mavic 2,FA39YEE7AK,2851 Old State Rd 37,4364237,Lower Cascades park,05/07/2020 12:00:00 AM,11:30,05/07/2020 12:00:00 AM,12:05,Video,People walking through the park,Do not show faces of any member of the public in video footage
2020/05/07 12:27:22 PM AST,ITS Information & Technology Services,"Inspections: Surveys and assessments of development sites, road improvements, traffic conditions.",Aerial survey of proposed improvements to storm water tunnel,DJI Mavic 2,FA39YEE7AK,300 E 4th Street,4364237,Downtown (From 4th & Grant to 2nd & Washington),05/07/2020 12:00:00 AM,14:00,05/07/2020 12:00:00 AM,15:00,Video,Video of members of the public,Do not show faces of members of the public in video footage
2020/05/18 9:35:21 AM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video footage of emergency responder vehicles (Virtual TouchATruck Event),DJI Mavic 2,FA39YEE7AK,"1150 W. Guy McCown Drive
Closest cross street is State Road 46",4364237,Ellettsville Town Hall,05/20/2020 12:00:00 AM,14:45,05/20/2020 12:00:00 AM,15:30,Images;Video,Members of the public,Members of the public faces will not be recorded
2020/05/27 4:12:00 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video footage of Third Street Park,DJI Mavic 2,FA39YEE7AK,331 S Washington Street,4364237,Third Street Park,06/01/2020 12:00:00 AM,11:00,06/01/2020 12:00:00 AM,11:30,Images;Video,Video of members of the public,No video will be collected where individual members of the public can be identified
2020/05/29 3:26:27 PM AST,ITS Information & Technology Services,Inspections: Surveys and assessments of properties and assets.,Video Footage of Third Street Park,DJI Mavic 2,FA39YEE7AK,331 S Washington Street,4364237,Third Street Park,05/29/2020 12:00:00 AM,16:00,05/29/2020 12:00:00 AM,16:45,Images;Video,Members of the public in the park,No video will be collected that contains personal identifiable information
2020/06/15 8:23:44 AM AST,ITS Information & Technology Services,Inspections: Surveys and assessments of properties and assets.;Marketing: Capture video and still photographs.,Video footage of the RCA Community Park,DJI Mavic 2,FA39YEE7AK,1400 RCA Park Drive,4364237,RCA Community Park,06/15/2020 12:00:00 AM,12:00,06/15/2020 12:00:00 AM,13:00,Images;Video,Personal identifiable information in the form of video or still photo capture,No footage will be captured or kept if PII is present
2020/06/22 3:58:18 PM AST,ITS Information & Technology Services,"Training: Preplanning, assessment and evaluation of emergency response operations.",Test Flight of Inspire 2,DJI Inspire,FA3EE74Y4W,1400 W RCA Park Drive,4364237,RCA Community Park,06/19/2020 12:00:00 AM,15:00,06/19/2020 12:00:00 AM,16:00,Images,None,Will not capture and/or store images that contain PII
2020/07/06 12:01:20 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Southeast Park,DJI Inspire,FA3EE74Y4W,1600 S Sycamore CT,4364237,Southeast Park,07/03/2020 12:00:00 AM,15:00,07/03/2020 12:00:00 AM,16:30,Video,PII,Did not collect and video containing PII
2020/07/07 2:31:04 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Southeast Park,DJI Mavic 2,FA39YEE7AK,1600 S Sycamore CT,4364237,Southeast Park,07/07/2020 12:00:00 AM,10:10,07/07/2020 12:00:00 AM,11:07,Video,PII,None of the footage collected will contain PII
2020/07/20 3:16:29 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video footage of the Winslow Sports Complex,DJI Mavic 2,FA39YEE7AK,"2800 S Highland Ave, Bloomington, IN 47401",4364237,Winslow Sports Complex,07/17/2020 12:00:00 AM,15:30,07/17/2020 12:00:00 AM,16:45,Video,PII,No discernible PII will be captured
2020/08/07 10:58:43 AM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,"Video footage of the Goat Farm, Sherwood Oaks Park, and Olcott Park",DJI Mavic 2,FA39YEE7AK,"2000 E Winslow Rd, 1600 E Elliston Dr, 2300 E Canada Dr",4364237,"Goat Farm, Sherwood Oaks Park, Olcott Park",08/07/2020 12:00:00 AM,08:00,08/07/2020 12:00:00 AM,10:00,Video,PII,Video footage will not show PII
2020/09/11 10:32:32 AM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,"Video footage of Schmalz Farm Park, Park Ridge Park, and Park Ridge East Park",DJI Mavic 2,FA39YEE7AK,"3010 E. Daniel Street, 3421 E. Longview Avenue, 4500 E. Morningside Drive",4364237,"Schmalz Farm Park, Park Ridge Park, and Park Ridge East Park",09/04/2020 12:00:00 AM,15:00,09/04/2020 12:00:00 AM,17:00,Video,PII,No PII will be collected
2020/09/23 10:02:47 AM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video footage of Broadview Park and Rev. Ernest D. Butler Park,DJI Mavic 2,FA39YEE7AK,704 W Graham Drive & 812 W 9th Street,4364237,Broadview Park and Rev. Ernest D. Butler Park,09/21/2020 12:00:00 AM,15:15,09/21/2020 12:00:00 AM,17:00,Video,PII,PII will not be captured
2020/10/01 12:05:40 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Griffy and Griffy Boathouse,DJI Mavic 2,FA39YEE7AK,"3595 N Headley Rd.
Bloomington IN 47408",4364237,Griffy Nature Preserve,09/25/2020 12:00:00 AM,15:30,09/25/2020 12:00:00 AM,17:00,Video,PII,No PII will be captured
2020/10/07 9:00:08 AM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Bryan Park,DJI Mavic 2,FA39YEE7AK,"1001 S Henderson Street, Bloomington, IN 47401",4364237,Bryan Park,10/07/2020 12:00:00 AM,08:00,10/07/2020 12:00:00 AM,08:30,Video,PII,No PII will be collected
2020/10/09 9:04:37 AM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Ferguson Dog Park,DJI Mavic 2,FA39YEE7AK,"4300 N Stone Mill Rd, Bloomington, IN 47408",4364237,Ferguson Dog Park,10/08/2020 12:00:00 AM,15:30,10/08/2020 12:00:00 AM,17:00,Video,PII,No PII will be collected
2020/10/23 3:09:24 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Crestmont Park,DJI Mavic 2,FA39YEE7AK,"1001 W 16th St, Bloomington, IN 47404",4364237,Crestmont Park,10/22/2020 12:00:00 AM,13:00,10/22/2020 12:00:00 AM,14:30,Video,PII,No PII was conducted during the flights
